Date,City,State,Latitude,Longitude,Total shot,Number killed,Number wounded,Assault weapon OR high-capacity magazine,Prohibited shooter,Killed intimate partner or family,Dangerous warning signs,Narrative,Last updated
1/27/2009,Wilmington,CA,33.7832634,-118.2549338,6,6,0,No,No,Yes,No,"A shooter fatally shot his wife and their five children, before fatally shooting himself.",2021-06-02T14:41:58.000Z
2/14/2009,Brockport,NY,43.221,-77.943,5,4,1,No,No,No,Yes,A shooter fatally shot a nurse in the parking lot of the Lakeside Memorial Hospital. He also fatally shot a motorist who intervened and wounded the motorist’s girlfriend. He then drove to Canandaigua and fatally shot another nurse and her husband in their home. Both nurses killed by the shooter had filed sexual harassment complaints against him.,2021-06-02T14:41:58.000Z
3/5/2009,Cleveland,OH,41.4774642,-81.6865138,6,5,1,No,Yes,Yes,No,"A shooter fatally shot his wife and four of her relatives, before fatally shooting himself. He also shot and injured one other victim.",2021-06-02T14:41:58.000Z
3/10/2009,Coffee and Geneva County,AL,31.1129,-86.0459,14,10,4,Yes,No,Yes,No,"A shooter killed 10 people and injured four in a spree-style shooting, before fatally shooting himself. Two others were injured by debris such as broken glass in the attack. Several of the victims were members of the shooter’s family, including his mother and his uncle.",2021-06-02T14:41:58.000Z
3/15/2009,Miami,FL,25.7377809,-80.2595799,4,4,0,Yes,No,Yes,No,"At a birthday party, a shooter fatally shot his estranged wife, her mother, her daughter, and her daughter’s boyfriend. He then returned to his house where he set the building on fire and fatally shot himself.",2021-06-02T14:41:58.000Z
3/21/2009,East Oakland,CA,37.7776884,-122.1902171,5,4,1,Yes,Yes,No,Yes,"A shooter fatally shot two police officers who pulled him over during a routine traffic stop. He then fled to a nearby apartment, where he fatally shot two SWAT officers and injured a third. The shooter was eventually shot and killed by responding SWAT officers.",2021-06-02T14:41:58.000Z
3/29/2009,Santa Clara,CA,37.39797,-121.9682421,6,5,1,No,No,Yes,No,"A shooter fatally shot five family members, including three children, before fatally shooting himself. He also shot and wounded his wife. The shooting took place in the family’s home.",2021-06-02T14:41:58.000Z
3/29/2009,Carthage,NC,35.3333426,-79.4146051,11,8,3,No,No,No,Yes,"A shooter opened fire at a nursing home where his estranged wife worked, killing eight and injuring three before he was shot and arrested by responding police officers.",2021-06-02T14:41:58.000Z
4/3/2009,Binghamton,NY,42.0997,-75.9172,17,13,4,Yes,No,No,Yes,"A shooter entered the American Civic Association during citizenship classes. He then opened fire, fatally shooting 13 people and woundinged four others before fatally shooting himself. The shooting took place at the American Civic Association, where the shooter had been taking English classes at the site of the shooting.",2021-06-02T14:41:58.000Z
4/4/2009,Graham,WA,47.0709264,-122.2534173,5,5,0,No,No,Yes,Yes,"After a dispute with his wife in which she told him she was ending their relationship, the shooter returned home and fatally shot his five children, ages 7 to 16. Police believe he then made an unsuccessful attempt to find his wife again, before fatally shooting himself in his car.",2021-06-02T14:41:58.000Z
4/6/2009,Green Hill,AL,34.973,-87.5121,4,4,0,No,No,Yes,Yes,"A shooter fatally shot his estranged wife, their teenage daughter, his sister, and his nephew a day before his divorce proceedings were scheduled to take place. He then lit the house on fire and fatally shot himself.",2021-06-02T14:41:58.000Z
4/19/2009,Middletown,MD,39.4428,-77.5455,4,4,0,No,No,Yes,No,A shooter fatally shot his wife and three children before fatally shooting himself. The incident took place in the family’s home.,2021-06-02T14:41:58.000Z
6/22/2009,Kansas City,KS,39.1127,-95.0286075,4,4,0,No,Yes,Yes,Yes,A shooter fatally shot his ex-girlfriend and three others at the house where she was staying.,2021-06-02T14:41:58.000Z
8/27/2009,Lawrenceville,GA,33.955,-83.9882,5,4,1,No,No,Yes,No,"A shooter fatally shot his girlfriend, her daughter, and two others in a domestic dispute. Another 4-year-old girl was shot and injured in the incident.",2021-06-02T14:41:58.000Z
